ticket_id,date,category,priority,resolution_time,repeated_issue,after_hours,is_breach
T0001,2023-02-22,Data Export,Low,4,False,True,True
T0002,2023-11-05,Data Export,Low,55,True,True,True
T0003,2023-01-04,Login Issue,Medium,70,False,False,False
T0004,2023-02-22,Malware Alert,Critical,44,True,True,False
T0005,2023-01-23,Login Issue,Critical,13,False,False,False
T0006,2023-05-31,Data Export,Critical,69,True,False,True
T0007,2023-05-29,Data Export,High,25,False,True,True
T0008,2023-03-25,Login Issue,Medium,13,False,False,False
T0009,2023-02-06,Access Request,High,27,False,False,False
T0010,2023-11-24,Phishing Email,Medium,69,False,True,True
T0011,2023-01-17,Data Export,Medium,42,False,False,False
T0012,2023-06-11,Access Request,Critical,35,True,False,False
T0013,2023-03-13,Malware Alert,Critical,51,False,False,True
T0014,2023-03-12,Malware Alert,High,55,False,False,True
T0015,2023-03-23,Phishing Email,Critical,12,False,False,True
T0016,2023-05-09,Data Export,Critical,9,False,False,False
T0017,2023-11-25,Phishing Email,Low,15,False,False,True
T0018,2023-05-15,Access Request,Low,38,False,False,False
T0019,2023-11-24,Phishing Email,Medium,65,False,False,True
T0020,2023-09-29,Phishing Email,Medium,20,False,True,False
T0021,2023-06-07,Login Issue,High,63,True,False,False
T0022,2023-09-06,Malware Alert,Low,31,False,False,True
T0023,2023-09-28,Login Issue,Medium,17,False,False,False
T0024,2023-06-09,Phishing Email,Critical,28,False,False,False
T0025,2023-02-02,Slow Performance,High,57,False,False,False
T0026,2023-11-20,Access Request,Low,71,True,True,True
T0027,2023-05-02,Login Issue,Medium,9,False,False,False
T0028,2023-10-23,Access Request,Critical,28,False,False,False
T0029,2023-08-09,Slow Performance,Medium,61,False,True,True
T0030,2023-11-27,Access Request,Critical,53,False,False,False
T0031,2023-04-09,Login Issue,Low,52,False,False,False
T0032,2023-02-08,Malware Alert,Critical,18,False,False,True
T0033,2023-02-17,Slow Performance,Low,7,False,False,True
T0034,2023-01-31,Malware Alert,Medium,53,False,True,True
T0035,2023-08-21,Malware Alert,Critical,1,False,False,False
T0036,2023-04-22,Access Request,Critical,72,False,False,True
T0037,2023-09-29,Login Issue,Low,41,True,False,False
T0038,2023-12-12,Malware Alert,Low,66,True,True,False
T0039,2023-01-21,Malware Alert,Critical,16,False,False,False
T0040,2023-05-14,Phishing Email,Low,54,False,False,True
T0041,2023-08-23,Malware Alert,High,31,True,True,True
T0042,2023-02-07,Access Request,Low,2,False,False,False
T0043,2023-05-06,Phishing Email,Medium,65,True,False,False
T0044,2023-12-01,Access Request,High,21,False,False,False
T0045,2023-03-10,Phishing Email,Low,71,True,False,False
T0046,2023-04-18,Access Request,Low,14,False,True,False
T0047,2023-05-09,Data Export,High,27,False,False,False
T0048,2023-03-08,Login Issue,Low,55,False,True,False
T0049,2023-01-05,Data Export,High,21,False,False,False
T0050,2023-03-17,Login Issue,Low,20,False,False,False
T0051,2023-01-21,Slow Performance,Medium,6,False,False,False
T0052,2023-07-28,Access Request,Medium,32,False,False,False
T0053,2023-07-31,Phishing Email,Medium,31,False,False,False
T0054,2023-05-08,Login Issue,Medium,43,False,False,False
T0055,2023-04-13,Access Request,Medium,14,False,True,False
T0056,2023-12-04,Slow Performance,High,40,False,False,False
T0057,2023-06-29,Malware Alert,Critical,43,True,True,False
T0058,2023-05-14,Data Export,Critical,69,False,True,False
T0059,2023-06-10,Malware Alert,High,5,True,False,False
T0060,2023-08-12,Slow Performance,Low,50,False,True,True
T0061,2023-11-16,Login Issue,Medium,47,False,False,False
T0062,2023-12-23,Access Request,Low,39,False,False,False
T0063,2023-03-31,Access Request,Medium,25,False,False,False
T0064,2023-08-09,Phishing Email,High,52,False,True,True
T0065,2023-03-28,Phishing Email,High,60,False,False,False
T0066,2023-05-01,Data Export,Low,37,False,False,False
T0067,2023-09-01,Data Export,High,29,False,True,True
T0068,2023-12-23,Phishing Email,Low,59,False,False,True
T0069,2023-02-24,Slow Performance,Critical,52,True,False,True
T0070,2023-10-13,Slow Performance,Medium,23,False,False,False
T0071,2023-10-14,Malware Alert,Low,59,True,False,False
T0072,2023-10-08,Phishing Email,High,57,False,False,False
T0073,2023-05-22,Slow Performance,Medium,61,False,False,False
T0074,2023-05-20,Phishing Email,Critical,31,True,True,True
T0075,2023-03-20,Access Request,High,70,True,True,True
T0076,2023-02-01,Data Export,Medium,9,False,False,False
T0077,2023-10-22,Malware Alert,Critical,50,False,False,False
T0078,2023-08-03,Slow Performance,Critical,1,False,False,False
T0079,2023-06-22,Phishing Email,Medium,63,True,False,True
T0080,2023-10-01,Data Export,Critical,22,False,False,False
T0081,2023-04-04,Login Issue,Critical,4,True,False,False
T0082,2023-07-14,Login Issue,High,49,False,False,False
T0083,2023-01-27,Access Request,Critical,33,False,False,False
T0084,2023-05-07,Access Request,Medium,9,False,False,False
T0085,2023-04-22,Malware Alert,Low,20,True,False,True
T0086,2023-02-28,Slow Performance,High,48,True,False,False
T0087,2023-07-12,Malware Alert,High,14,False,False,False
T0088,2023-12-23,Slow Performance,Medium,10,False,False,False
T0089,2023-09-17,Access Request,Low,6,False,False,False
T0090,2023-07-05,Data Export,High,2,False,False,True
T0091,2023-05-19,Data Export,Critical,20,False,False,False
T0092,2023-05-06,Phishing Email,Critical,60,False,False,True
T0093,2023-07-14,Login Issue,High,58,True,False,False
T0094,2023-05-13,Access Request,Low,64,False,True,False
T0095,2023-05-04,Access Request,High,36,False,False,True
T0096,2023-12-31,Data Export,Critical,63,False,True,False
T0097,2023-06-06,Slow Performance,Critical,3,True,True,False
T0098,2023-10-09,Data Export,High,61,False,False,False
T0099,2023-04-09,Access Request,High,59,True,False,True
T0100,2023-09-05,Access Request,Low,69,False,False,False
T0101,2023-06-04,Access Request,High,13,False,False,False
T0102,2023-03-06,Login Issue,Medium,36,True,True,False
T0103,2023-08-14,Data Export,Critical,14,False,False,False
T0104,2023-02-03,Access Request,Medium,7,True,False,True
